bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,price
4,2.5,3700.0,63991,2.0,0,0,3,10,3700.0,0,3210,47215,898000.0
3,1.5,2100.0,10000,1.0,0,0,4,7,2100.0,0,1300,7500,245000.0
3,2.5,1528.0,7616,2.0,0,0,3,7,1528.0,0,1850,7340,272000.0
4,3.0,2010.0,8171,2.0,0,0,3,8,2010.0,0,2090,8203,434000.0
3,2.25,2760.0,10160,1.0,0,0,3,8,2760.0,0,2760,9600,336000.0
2,1.0,1300.0,11080,1.0,0,0,4,7,1300.0,0,1600,9259,425000.0
7,3.0,2940.0,8624,1.0,0,0,3,8,1690.0,1250,1850,8031,420000.0
4,4.0,,7221,2.0,0,0,3,10,3010.0,0,3490,7518,765000.0
4,4.25,5540.0,15408,2.0,0,1,3,11,4280.0,1260,3570,14750,2580000.0
3,1.0,1140.0,6400,1.0,0,0,3,7,1140.0,0,1340,6650,309000.0
5,2.75,2400.0,8050,2.0,0,0,3,8,2400.0,0,2400,8050,327000.0
4,2.5,2750.0,7200,2.0,0,0,3,8,2750.0,0,2750,7200,430000.0
3,1.5,1520.0,9041,1.0,0,0,4,7,1520.0,0,3260,10020,810000.0
3,2.5,1900.0,5194,2.0,0,0,3,7,1900.0,0,2230,5194,343500.0
2,1.0,1230.0,5000,1.0,0,0,5,6,1230.0,0,1230,5413,184900.0
4,2.5,,4950,2.0,0,0,3,8,2900.0,0,2590,4950,520000.0
1,1.0,720.0,7540,1.0,1,4,4,6,720.0,0,1120,9736,570000.0
4,2.5,2680.0,9928,1.0,0,0,4,8,1340.0,1340,2180,10478,463000.0
5,2.5,2570.0,7412,2.0,0,0,3,8,2570.0,0,2890,8056,472000.0
5,2.5,3490.0,18850,1.0,0,4,4,9,1840.0,1650,2690,11625,915000.0
2,0.75,550.0,7980,1.0,0,0,3,5,550.0,0,1330,7980,115000.0
4,2.5,3710.0,15935,1.0,0,0,3,10,2130.0,1580,3674,17913,485000.0
4,2.5,2040.0,109336,1.5,0,0,4,8,2040.0,0,2370,133729,375000.0
3,2.5,2260.0,4550,1.5,0,0,4,7,1380.0,880,1870,4582,622500.0
3,1.75,1860.0,48076,1.5,0,0,4,8,1860.0,0,1410,23066,407185.0
4,2.5,2520.0,5000,2.0,0,0,3,9,2520.0,0,2910,5001,680000.0
3,1.5,1210.0,5200,1.0,0,0,5,6,1210.0,0,1120,5200,219950.0
3,2.0,2560.0,216777,1.0,0,0,3,8,2560.0,0,2360,108463,560000.0
4,2.5,1750.0,9000,1.0,0,0,3,8,1410.0,340,2120,9600,625000.0
3,2.25,2300.0,7200,1.0,0,0,4,8,1550.0,750,2000,7350,287000.0
3,2.5,2250.0,11632,2.0,0,0,3,8,2250.0,0,2360,11632,538000.0
4,2.5,2755.0,4831,2.0,0,0,3,7,2755.0,0,2510,4831,625250.0
3,3.0,3450.0,16200,2.0,0,0,3,10,3450.0,0,3130,12150,688000.0
2,1.0,700.0,10540,1.0,0,0,3,6,700.0,0,890,10540,192000.0
4,2.5,2740.0,45732,2.0,0,0,3,8,2740.0,0,2080,43560,483500.0
5,6.0,7120.0,40806,2.0,0,4,3,12,,1640,3440,36859,900000.0
3,2.5,2040.0,9765,2.0,0,0,3,8,2040.0,0,2350,10150,325900.0
4,1.5,2430.0,3600,2.5,0,0,3,8,2430.0,0,2020,4800,940000.0
3,2.5,1680.0,10300,2.0,0,0,4,7,1680.0,0,1680,9849,262000.0
4,2.75,2810.0,8570,2.0,0,0,3,10,2810.0,0,2810,9621,1570000.0
3,2.5,2550.0,5349,2.0,0,0,3,7,2550.0,0,2640,5400,394000.0
4,2.0,2290.0,6000,,0,3,5,7,2290.0,0,2000,3150,685000.0
3,1.0,860.0,1664,1.5,0,0,3,7,860.0,0,1540,4080,399900.0
3,2.5,1580.0,1321,2.0,0,2,3,8,1080.0,500,1530,1357,705000.0
4,2.0,1690.0,7728,1.5,0,0,4,7,1690.0,0,1480,8009,207000.0
3,2.25,2170.0,5001,2.0,0,0,3,8,2170.0,0,1700,6991,802000.0
3,2.0,2260.0,9568,1.0,0,0,3,8,1780.0,480,2250,9744,539000.0
2,1.0,790.0,7500,,0,0,3,7,790.0,0,1560,7794,130000.0
2,2.25,1010.0,1107,2.0,0,0,3,8,710.0,300,1140,1531,459000.0
2,1.0,920.0,7688,1.0,0,0,3,6,920.0,0,1040,7440,275000.0
4,2.25,2660.0,11200,2.0,0,0,4,8,2660.0,0,2090,11120,425000.0
3,2.5,2140.0,7641,1.0,0,0,3,8,1290.0,850,2090,8000,339950.0
3,2.25,1900.0,3960,1.5,0,0,3,8,1200.0,700,1310,3960,580000.0
4,2.75,2740.0,7872,2.0,0,0,3,10,2740.0,0,1220,6300,530000.0
2,1.0,1200.0,6278,1.0,0,0,3,7,1080.0,120,1200,6211,486700.0
4,1.0,1320.0,5000,1.5,0,0,3,7,1320.0,0,1640,5164,229000.0
3,2.25,2270.0,32112,1.0,0,0,4,8,1740.0,530,2310,41606,390000.0
3,2.0,1720.0,11875,1.0,0,0,5,6,1720.0,0,1860,7500,313100.0
3,1.75,2200.0,12231,1.0,0,0,4,7,1250.0,950,2200,9825,322000.0
5,2.75,3300.0,7560,2.0,0,0,3,10,3300.0,0,3150,8580,1110000.0
4,2.0,1730.0,9139,2.0,0,0,3,8,1730.0,0,1410,7311,466750.0
4,1.75,2070.0,9120,1.0,0,0,4,7,1250.0,820,1650,8400,430000.0
6,2.0,1750.0,17685,1.0,0,0,4,5,1750.0,0,1750,9209,315000.0
3,1.75,1550.0,7410,1.5,0,0,5,7,1550.0,0,1250,7467,280000.0
3,1.5,1580.0,8841,1.5,0,0,5,7,1180.0,400,1580,7512,520000.0
1,0.75,1170.0,14149,1.0,0,0,5,7,880.0,290,1130,24513,275000.0
2,2.5,750.0,1430,2.0,0,0,3,8,750.0,0,1320,2790,375000.0
3,1.0,980.0,7606,1.0,0,0,3,7,980.0,0,980,8125,221000.0
2,1.0,1640.0,17335,1.0,0,0,3,7,840.0,800,2440,17850,379500.0
4,2.75,3100.0,10245,2.0,0,0,3,10,3100.0,0,3140,9028,792000.0
3,1.0,1430.0,13370,1.0,0,0,3,7,1430.0,0,1670,10075,394900.0
3,2.25,2330.0,3600,1.5,0,0,3,8,2330.0,0,2050,4275,490000.0
3,2.5,1980.0,6608,2.0,0,0,3,8,1980.0,0,2150,7495,272000.0
3,1.5,1255.0,1374,3.0,0,0,3,7,1255.0,0,1307,1232,312000.0
4,2.0,1580.0,6250,1.0,0,0,3,7,860.0,720,1580,6250,190000.0
3,1.75,1390.0,13200,2.0,0,0,3,7,1390.0,0,1430,10725,290000.0
2,1.0,2020.0,6720,1.0,0,0,3,7,1010.0,1010,1720,6720,355000.0
3,1.5,1850.0,10572,1.0,0,0,4,8,1850.0,0,3030,12752,1380000.0
2,2.0,1170.0,8251,1.0,0,0,3,7,1170.0,0,1360,6798,393820.0
3,3.5,4310.0,10842,2.0,0,2,3,10,3140.0,1170,2280,11106,1200000.0
2,1.0,790.0,5024,1.0,0,0,4,7,790.0,0,1330,5024,425000.0
2,1.0,1140.0,11480,1.0,0,0,3,6,1140.0,0,1550,8150,455000.0
2,2.25,1140.0,1332,3.0,0,0,3,8,1140.0,0,1140,1267,476000.0
4,3.0,3720.0,57499,1.0,0,0,3,9,1880.0,1840,2560,26372,650000.0
3,2.0,1680.0,7000,1.5,0,0,4,7,1680.0,0,1540,7480,219200.0
3,2.0,1960.0,8846,,0,3,4,6,980.0,980,2190,6363,360000.0
3,2.25,1560.0,6013,2.0,0,0,3,7,1560.0,0,1640,6290,213675.0
4,1.75,1650.0,7775,1.0,0,0,4,7,1150.0,500,1390,7200,475000.0
2,1.75,1700.0,3618,1.0,0,1,3,8,1260.0,440,2200,5000,895000.0
4,3.0,3150.0,9703,2.0,0,0,3,9,3150.0,0,3150,8819,727000.0
5,4.5,4000.0,6713,2.0,0,0,3,9,4000.0,0,3690,6600,771005.0
4,4.0,3650.0,18223,2.0,0,3,3,9,3330.0,320,3220,11022,799900.0
3,2.5,3110.0,217800,2.0,0,0,3,9,3110.0,0,2220,217800,559000.0
4,2.5,2009.0,4800,2.0,0,0,3,8,2009.0,0,1798,4800,279000.0
3,1.0,1090.0,10620,1.5,0,0,3,7,1090.0,0,1380,10620,140000.0
3,1.0,1190.0,85226,1.5,0,0,5,5,1190.0,0,1360,46960,390000.0
4,3.0,3180.0,80837,2.0,0,0,3,11,3180.0,0,3180,38715,914600.0
3,2.5,3120.0,12406,2.0,0,2,3,9,1940.0,1180,3240,13141,850000.0
2,1.0,1410.0,7000,1.0,0,0,3,7,1410.0,0,1540,6000,175000.0
2,1.0,1180.0,9350,1.0,0,0,3,6,1180.0,0,1780,9306,160000.0
3,2.25,1900.0,7250,1.0,0,0,3,7,1250.0,650,1560,9420,245000.0
8,3.75,3460.0,4600,2.0,0,0,3,7,2860.0,600,2170,3750,808000.0
2,1.0,640.0,7768,1.0,0,0,3,6,640.0,0,840,7424,165000.0
5,4.0,4390.0,6656,2.0,0,0,3,9,2930.0,1460,1560,6656,1230000.0
3,2.5,2620.0,11056,2.0,0,0,3,9,2620.0,0,2560,8688,557500.0
4,2.0,1780.0,7350,1.0,0,0,5,7,900.0,880,1480,7350,318500.0
4,1.0,1040.0,4420,1.5,0,0,3,6,1040.0,0,1310,4920,396000.0
2,1.5,1110.0,986,2.0,0,0,3,7,950.0,160,1110,3515,252500.0
4,2.5,2640.0,47480,1.0,0,0,4,8,1590.0,1050,2390,67415,462000.0
3,2.75,1950.0,12630,1.0,0,0,4,8,1230.0,720,1990,12196,510000.0
5,2.25,3210.0,61419,1.5,0,0,3,8,,0,2820,48351,696500.0
3,2.5,1480.0,1590,2.0,0,0,3,8,1150.0,330,1480,5761,315000.0
3,4.25,5150.0,7800,2.5,0,2,3,11,4170.0,980,4270,7800,2250000.0
3,1.0,1380.0,6250,1.0,0,0,4,7,1380.0,0,2270,6250,553000.0
3,2.5,1640.0,5097,2.0,0,0,3,7,1640.0,0,1880,6000,475000.0
4,2.5,2240.0,4447,2.0,0,0,3,7,2240.0,0,2000,3800,410000.0
3,2.25,1630.0,10962,1.0,0,0,4,8,1100.0,530,1830,8470,305000.0
5,4.5,4300.0,12250,2.0,0,0,3,10,4300.0,0,3950,12250,975000.0
4,1.5,1370.0,3708,1.5,0,0,3,7,1370.0,0,2030,3708,545000.0
3,2.5,1930.0,8254,2.0,0,0,3,7,1930.0,0,1540,8849,369950.0
4,2.5,2050.0,4953,2.0,0,0,3,9,2050.0,0,2340,6175,383000.0
2,2.25,1280.0,835,2.0,0,0,3,7,1080.0,200,1280,1246,370000.0
3,2.0,1980.0,2674,3.0,0,0,3,8,1980.0,0,1440,2674,435000.0
2,1.0,1500.0,6685,1.0,0,0,3,7,1190.0,310,1420,6561,245000.0
4,2.25,2270.0,10000,1.0,0,0,5,8,1720.0,550,2270,10148,596000.0
2,1.0,1300.0,39639,1.0,0,0,4,6,1300.0,0,1880,98881,295000.0
4,2.5,2154.0,4153,2.0,0,0,3,9,2154.0,0,2154,4091,390000.0
4,2.25,2110.0,16200,1.0,0,0,3,8,1630.0,480,2370,16000,490000.0
4,1.75,1640.0,1480,1.0,0,0,4,7,820.0,820,1420,2342,450000.0
5,2.0,1940.0,7642,1.5,0,0,3,7,1940.0,0,1940,8724,465250.0
3,1.75,1250.0,5375,1.0,0,0,3,7,1250.0,0,1320,6258,283500.0
4,2.0,2680.0,14157,1.0,0,0,3,8,1460.0,1220,2100,9199,525000.0
3,2.5,1460.0,1319,3.0,0,0,3,8,1460.0,0,1430,1530,400000.0
3,2.5,2300.0,8938,2.0,0,0,3,9,2300.0,0,2570,9694,395000.0
3,1.5,1390.0,2153,2.0,0,0,3,7,1390.0,0,1100,2617,267500.0
3,1.0,1040.0,6800,1.0,0,0,5,6,1040.0,0,1430,6080,212000.0
3,2.25,1620.0,4500,2.0,0,0,4,8,1620.0,0,1210,4320,800000.0
4,2.5,2210.0,7722,2.0,0,0,3,9,2210.0,0,2970,8683,640000.0
2,1.0,970.0,5665,1.0,0,0,4,6,970.0,0,1490,4429,315000.0
4,2.5,1770.0,8155,1.5,0,0,4,6,1770.0,0,1460,7360,500000.0
3,2.5,2370.0,3239,2.0,0,0,3,8,1950.0,420,2520,3431,475000.0
3,2.5,1660.0,10763,2.0,0,0,3,7,1660.0,0,2010,7983,315000.0
3,2.5,2393.0,4788,2.0,0,0,3,8,2393.0,0,2439,5477,400000.0
3,2.25,1840.0,9040,1.0,0,0,3,8,1370.0,470,1870,8992,285000.0
4,2.5,3100.0,5700,2.0,0,0,3,9,3100.0,0,3060,6000,499000.0
4,2.25,2160.0,9525,1.0,0,0,3,8,1080.0,1080,2780,9525,750000.0
4,2.0,1450.0,7560,1.0,0,0,3,7,1450.0,0,1430,7560,234950.0
4,1.75,2860.0,48351,1.0,0,0,3,8,1710.0,1150,2460,43560,530000.0
2,1.0,930.0,5650,1.0,0,2,3,7,930.0,0,1340,6400,306000.0
3,2.0,2010.0,4320,2.0,0,2,3,9,2010.0,0,1640,5225,699000.0
2,1.0,880.0,1165,2.0,0,0,3,8,880.0,0,1640,3825,360000.0
3,2.25,2930.0,7005,3.0,0,2,3,9,2670.0,260,2450,6460,1050000.0
4,3.5,3590.0,5334,2.0,0,2,3,9,3140.0,450,2100,6250,1300000.0
2,1.0,1470.0,6398,1.0,0,0,4,7,970.0,500,1950,6398,602000.0
3,1.5,1890.0,5000,1.5,0,0,3,9,1890.0,0,2560,5000,826000.0
3,2.5,2370.0,4375,2.0,0,0,3,8,2370.0,0,2380,4606,366000.0
3,2.5,3080.0,13880,2.0,0,0,3,9,3080.0,0,2780,15318,569999.0
4,1.75,2150.0,9000,1.0,0,0,4,7,1110.0,1040,2040,9000,550000.0
2,1.0,960.0,6263,1.0,0,1,4,6,960.0,0,1460,6054,660000.0
3,1.75,1910.0,4800,1.0,0,0,3,7,1080.0,830,1750,4800,700000.0
3,2.0,1640.0,7201,1.0,0,0,3,8,1640.0,0,1750,7201,405000.0
5,2.75,2930.0,31411,1.0,0,0,4,9,1520.0,1410,3070,12378,610000.0
4,2.5,2560.0,5800,2.0,0,0,3,9,2560.0,0,3040,5800,388000.0
6,2.5,3760.0,12978,1.0,0,0,3,9,2360.0,1400,2300,7362,838300.0
4,1.5,1860.0,7808,1.0,0,0,3,7,1080.0,780,1530,7884,450000.0
4,2.25,2460.0,11250,1.0,0,0,4,8,2460.0,0,1630,10216,276000.0
2,1.0,660.0,5000,1.0,0,0,3,6,660.0,0,1000,5000,175000.0
2,1.5,1300.0,7632,1.0,0,2,3,7,1300.0,0,1420,1676,750000.0
3,2.5,1570.0,4926,2.0,0,0,3,8,1570.0,0,1800,3202,417000.0
3,1.0,1100.0,17334,1.0,0,0,3,7,1100.0,0,1530,18694,139000.0
3,2.25,1650.0,7313,1.0,0,0,3,7,1220.0,430,1690,7252,460000.0
4,2.25,2350.0,7210,1.5,0,0,4,7,2350.0,0,1930,7519,500000.0
3,3.0,2630.0,4972,2.0,0,0,3,9,2630.0,0,2880,4972,731781.0
3,1.5,1140.0,8340,1.0,0,0,3,7,1140.0,0,1140,8340,200000.0
3,2.25,1600.0,39848,1.0,0,3,4,8,1600.0,0,1600,39848,380000.0
4,3.5,3370.0,3634,2.0,0,0,3,9,2750.0,620,3200,3650,812000.0
4,1.75,2410.0,8447,2.0,0,3,4,8,2060.0,350,2520,14789,550000.0
5,2.75,3260.0,11700,1.0,0,0,3,8,1630.0,1630,2860,11700,681500.0
